episode,score,moving_avg_100,epsilon,loss,elapsed_s
1,1.0,1.0,0.995,nan,2.1
2,0.0,0.5,0.99,nan,3.9
3,1.0,0.667,0.9851,nan,5.6
4,0.0,0.5,0.9801,0.00106,7.6
5,1.0,0.6,0.9752,0.00097,9.6
6,0.0,0.5,0.9704,0.00066,11.8
7,0.0,0.429,0.9655,0.00034,14.0
8,1.0,0.5,0.9607,0.00561,16.3
9,0.0,0.444,0.9559,0.00346,18.4
10,2.0,0.6,0.9511,0.00053,20.8
11,0.0,0.545,0.9464,0.00036,22.9
12,1.0,0.583,0.9416,0.00043,25.1
13,-1.0,0.462,0.9369,0.00054,27.2
14,1.0,0.5,0.9322,0.00694,29.3
15,1.0,0.533,0.9276,0.00035,31.5
16,0.0,0.5,0.9229,0.00812,33.7
17,0.0,0.471,0.9183,0.00529,36.1
18,0.0,0.444,0.9137,0.00043,38.2
19,0.0,0.421,0.9092,0.00037,40.4
20,-1.0,0.35,0.9046,0.00061,42.5
21,0.0,0.333,0.9001,0.00288,44.8
22,-1.0,0.273,0.8956,0.00046,46.9
23,1.0,0.304,0.8911,0.00863,49.0
24,0.0,0.292,0.8867,0.00018,51.1
25,0.0,0.28,0.8822,0.0054,53.3
26,0.0,0.269,0.8778,0.01006,55.4
27,0.0,0.259,0.8734,0.00058,57.5
28,0.0,0.25,0.8691,0.00042,59.6
29,1.0,0.276,0.8647,0.00058,61.8
30,1.0,0.3,0.8604,0.00345,64.0
31,-2.0,0.226,0.8561,0.00369,66.3
32,0.0,0.219,0.8518,0.00049,68.7
33,2.0,0.273,0.8475,0.00605,70.9
34,1.0,0.294,0.8433,0.00816,73.2
35,0.0,0.286,0.8391,0.00065,75.5
36,0.0,0.278,0.8349,0.00039,78.1
37,-1.0,0.243,0.8307,0.00901,80.6
38,1.0,0.263,0.8266,0.00077,82.9
39,2.0,0.308,0.8224,0.00765,85.2
40,1.0,0.325,0.8183,0.00046,87.4
41,1.0,0.341,0.8142,0.00025,89.8
42,1.0,0.357,0.8102,0.00751,92.0
43,2.0,0.395,0.8061,0.00059,94.5
44,1.0,0.409,0.8021,0.00886,97.0
45,-1.0,0.378,0.7981,0.00053,99.3
46,-1.0,0.348,0.7941,0.00038,101.5
47,1.0,0.362,0.7901,0.00083,103.8
48,0.0,0.354,0.7862,0.00137,105.9
49,2.0,0.388,0.7822,0.00126,108.0
50,-1.0,0.36,0.7783,0.00047,110.2
51,2.0,0.392,0.7744,0.00029,112.4
52,-1.0,0.365,0.7705,0.01297,114.5
53,2.0,0.396,0.7667,0.00043,116.5
54,0.0,0.389,0.7629,0.0079,118.5
55,-1.0,0.364,0.759,0.00041,120.8
56,1.0,0.375,0.7553,0.00072,123.0
57,-1.0,0.351,0.7515,0.00674,125.3
58,0.0,0.345,0.7477,0.00032,127.4
59,0.0,0.339,0.744,0.0003,129.5
60,0.0,0.333,0.7403,0.00129,131.6
61,0.0,0.328,0.7366,0.00087,133.7
62,1.0,0.339,0.7329,0.00158,135.9
63,0.0,0.333,0.7292,0.00413,138.1
64,2.0,0.359,0.7256,0.00067,140.2
65,2.0,0.385,0.7219,0.00059,142.2
66,2.0,0.409,0.7183,0.00043,144.3
67,3.0,0.448,0.7147,0.00048,146.4
68,-1.0,0.426,0.7112,0.00027,148.7
69,0.0,0.42,0.7076,0.00052,150.8
70,0.0,0.414,0.7041,0.00085,152.9
71,0.0,0.408,0.7005,0.00036,155.2
72,2.0,0.431,0.697,0.00036,157.3
73,4.0,0.479,0.6936,0.00055,159.4
74,1.0,0.486,0.6901,0.00065,161.4
75,-1.0,0.467,0.6866,0.00033,163.6
76,3.0,0.5,0.6832,0.00916,165.8
77,0.0,0.494,0.6798,0.001,167.8
78,0.0,0.487,0.6764,0.00194,170.1
79,0.0,0.481,0.673,0.00624,172.2
80,1.0,0.487,0.6696,0.00437,174.6
81,1.0,0.494,0.6663,0.0026,176.9
82,-2.0,0.463,0.663,0.00092,179.3
83,3.0,0.494,0.6597,0.00234,181.7
84,-1.0,0.476,0.6564,0.00035,184.0
85,1.0,0.482,0.6531,0.00361,186.2
86,0.0,0.477,0.6498,0.00208,188.2
87,4.0,0.517,0.6466,0.00391,190.5
88,2.0,0.534,0.6433,0.00067,192.5
89,1.0,0.539,0.6401,0.00154,194.8
90,3.0,0.567,0.6369,0.00127,197.0
91,1.0,0.571,0.6337,0.00143,199.1
92,3.0,0.598,0.6306,0.00245,201.5
93,3.0,0.624,0.6274,0.0005,203.5
94,3.0,0.649,0.6243,0.00151,205.6
95,0.0,0.642,0.6211,0.00116,207.7
96,0.0,0.635,0.618,0.002,209.7
97,-1.0,0.619,0.6149,0.00461,211.8
98,1.0,0.622,0.6119,0.00074,214.0
99,2.0,0.636,0.6088,0.0008,216.3
100,0.0,0.63,0.6058,0.00219,218.3
101,0.0,0.62,0.6027,0.00092,220.4
102,3.0,0.65,0.5997,0.00175,222.5
103,6.0,0.7,0.5967,0.00085,224.6
104,1.0,0.71,0.5937,0.00094,226.8
105,0.0,0.7,0.5908,0.00296,228.9
106,2.0,0.72,0.5878,0.0071,231.2
107,4.0,0.76,0.5849,0.00102,233.3
108,2.0,0.77,0.582,0.0009,235.4
109,1.0,0.78,0.579,0.00172,237.4
110,3.0,0.79,0.5762,0.00091,239.5
111,1.0,0.8,0.5733,0.00509,241.7
112,4.0,0.83,0.5704,0.00063,243.7
113,2.0,0.86,0.5676,0.00147,246.1
114,3.0,0.88,0.5647,0.00187,248.2
115,1.0,0.88,0.5619,0.00164,250.4
116,6.0,0.94,0.5591,0.00194,252.5
117,-2.0,0.92,0.5563,0.00173,255.0
118,0.0,0.92,0.5535,0.00692,257.4
119,2.0,0.94,0.5507,0.00277,259.8
120,4.0,0.99,0.548,0.00228,262.0
121,2.0,1.01,0.5452,0.00289,264.2
122,3.0,1.05,0.5425,0.00072,266.3
123,1.0,1.05,0.5398,0.00243,268.5
124,2.0,1.07,0.5371,0.00143,270.7
125,6.0,1.13,0.5344,0.00365,272.9
126,5.0,1.18,0.5318,0.00338,275.4
127,6.0,1.24,0.5291,0.00114,277.5
128,4.0,1.28,0.5264,0.00837,279.9
129,2.0,1.29,0.5238,0.00134,282.3
130,2.0,1.3,0.5212,0.00149,284.7
131,4.0,1.36,0.5186,0.00221,287.0
132,5.0,1.41,0.516,0.0016,289.2
133,3.0,1.42,0.5134,0.00238,291.6
134,5.0,1.46,0.5108,0.002,293.8
135,4.0,1.5,0.5083,0.00809,296.0
136,4.0,1.54,0.5058,0.00172,298.1
137,0.0,1.55,0.5032,0.00811,300.3
138,2.0,1.56,0.5007,0.01113,302.6
139,6.0,1.6,0.4982,0.00946,304.9
140,4.0,1.63,0.4957,0.00306,307.3
141,2.0,1.64,0.4932,0.00263,309.4
142,7.0,1.7,0.4908,0.00092,311.7
143,7.0,1.75,0.4883,0.00125,313.8
144,8.0,1.82,0.4859,0.0063,316.0
145,3.0,1.86,0.4834,0.00116,318.4
146,4.0,1.91,0.481,0.00174,320.6
147,5.0,1.95,0.4786,0.00219,322.8
148,4.0,1.99,0.4762,0.0018,324.9
149,7.0,2.04,0.4738,0.01434,327.1
150,5.0,2.1,0.4715,0.00583,329.9
151,3.0,2.11,0.4691,0.0031,332.3
152,4.0,2.16,0.4668,0.00366,334.6
153,3.0,2.17,0.4644,0.0097,337.0
154,4.0,2.21,0.4621,0.00125,339.1
155,4.0,2.26,0.4598,0.00397,341.3
156,4.0,2.29,0.4575,0.00996,343.4
