episode,score,moving_avg_100,epsilon,loss,elapsed_s
1,1.0,1.0,0.995,nan,2.4
2,0.0,0.5,0.99,nan,4.6
3,1.0,0.667,0.9851,nan,6.5
4,1.0,0.75,0.9801,0.00095,8.7
5,0.0,0.6,0.9752,0.00114,11.0
6,-2.0,0.167,0.9704,0.00064,13.5
7,0.0,0.143,0.9655,0.00055,16.1
8,1.0,0.25,0.9607,0.00047,18.6
9,0.0,0.222,0.9559,0.00383,21.1
10,0.0,0.2,0.9511,0.00146,23.7
11,0.0,0.182,0.9464,0.00058,26.1
12,0.0,0.167,0.9416,0.00071,28.5
13,-1.0,0.077,0.9369,0.00046,31.1
14,0.0,0.071,0.9322,0.00973,33.4
15,3.0,0.267,0.9276,0.00041,35.7
16,0.0,0.25,0.9229,0.00048,38.1
17,0.0,0.235,0.9183,0.00557,40.5
18,1.0,0.278,0.9137,0.00043,42.9
19,0.0,0.263,0.9092,0.00669,45.3
20,1.0,0.3,0.9046,0.00076,47.9
21,0.0,0.286,0.9001,0.00316,50.7
22,0.0,0.273,0.8956,0.00032,53.4
23,1.0,0.304,0.8911,0.00028,55.9
24,0.0,0.292,0.8867,0.00053,58.3
25,0.0,0.28,0.8822,0.00038,60.8
26,0.0,0.269,0.8778,0.00047,63.4
27,1.0,0.296,0.8734,0.00762,65.9
28,2.0,0.357,0.8691,0.00024,68.4
29,-1.0,0.31,0.8647,0.0046,70.7
30,2.0,0.367,0.8604,0.00382,73.1
31,2.0,0.419,0.8561,0.00587,75.3
32,0.0,0.406,0.8518,0.00047,77.7
33,2.0,0.455,0.8475,0.00074,80.0
34,2.0,0.5,0.8433,0.01145,82.2
35,1.0,0.514,0.8391,0.0009,84.5
36,-2.0,0.444,0.8349,0.00043,87.0
37,0.0,0.432,0.8307,0.00752,89.5
38,1.0,0.447,0.8266,0.00118,91.9
39,2.0,0.487,0.8224,0.0078,94.1
40,1.0,0.5,0.8183,0.00041,96.2
41,0.0,0.488,0.8142,0.00044,98.5
42,-2.0,0.429,0.8102,0.00352,100.7
43,0.0,0.419,0.8061,0.00098,103.5
44,1.0,0.432,0.8021,0.00078,105.8
45,-1.0,0.4,0.7981,0.00031,108.2
46,0.0,0.391,0.7941,0.00025,110.4
47,4.0,0.468,0.7901,0.00052,112.6
48,0.0,0.458,0.7862,0.00029,114.9
49,1.0,0.469,0.7822,0.00061,117.3
50,0.0,0.46,0.7783,0.0071,119.6
51,2.0,0.49,0.7744,0.00046,121.8
52,0.0,0.481,0.7705,0.00164,124.1
53,1.0,0.491,0.7667,0.00037,126.4
54,1.0,0.5,0.7629,0.004,128.7
55,2.0,0.527,0.759,0.00039,131.1
56,0.0,0.518,0.7553,0.00042,133.4
57,2.0,0.544,0.7515,0.00052,135.8
58,1.0,0.552,0.7477,0.00032,138.2
59,-1.0,0.525,0.744,0.00033,140.4
60,2.0,0.55,0.7403,0.00492,142.7
61,4.0,0.607,0.7366,0.00093,145.0
62,0.0,0.597,0.7329,0.00203,147.1
63,0.0,0.587,0.7292,0.00067,149.3
64,0.0,0.578,0.7256,0.00235,151.4
65,0.0,0.569,0.7219,0.00105,153.5
66,-1.0,0.545,0.7183,0.00047,155.6
67,0.0,0.537,0.7147,0.00105,157.8
68,3.0,0.574,0.7112,0.00095,160.0
69,0.0,0.565,0.7076,0.00048,162.2
70,2.0,0.586,0.7041,0.00124,164.4
71,0.0,0.577,0.7005,0.00117,166.5
72,6.0,0.653,0.697,0.00048,168.6
73,2.0,0.671,0.6936,0.00075,170.7
74,-1.0,0.649,0.6901,0.00071,173.0
75,1.0,0.653,0.6866,0.00094,175.4
76,2.0,0.671,0.6832,0.00638,177.5
77,3.0,0.701,0.6798,0.00111,179.7
78,4.0,0.744,0.6764,0.00696,181.8
79,2.0,0.759,0.673,0.00936,184.0
80,1.0,0.762,0.6696,0.00121,186.2
81,2.0,0.778,0.6663,0.00054,188.4
