episode,score,moving_avg_100,epsilon,loss,elapsed_s
1,0.0,0.0,0.995,nan,2.4
2,-2.0,-1.0,0.99,nan,4.2
3,-2.0,-1.333,0.9851,nan,5.9
4,-1.0,-1.25,0.9801,0.00113,8.1
5,-2.0,-1.4,0.9752,0.00062,10.4
6,0.0,-1.167,0.9704,0.00153,12.7
7,2.0,-0.714,0.9655,0.00068,15.0
8,-3.0,-1.0,0.9607,0.00939,17.4
9,-2.0,-1.111,0.9559,0.00099,19.8
10,0.0,-1.0,0.9511,0.00587,22.0
11,-1.0,-1.0,0.9464,0.00515,24.4
12,-1.0,-1.0,0.9416,0.01029,26.7
13,-2.0,-1.077,0.9369,0.00489,29.0
14,2.0,-0.857,0.9322,0.00856,31.4
15,0.0,-0.8,0.9276,0.00682,33.9
16,-2.0,-0.875,0.9229,0.00101,36.3
17,0.0,-0.824,0.9183,0.00105,38.8
18,0.0,-0.778,0.9137,0.00098,41.0
19,0.0,-0.737,0.9092,0.00095,43.3
20,-1.0,-0.75,0.9046,0.00079,45.6
21,1.0,-0.667,0.9001,0.00072,48.2
22,0.0,-0.636,0.8956,0.00088,50.5
23,0.0,-0.609,0.8911,0.00128,53.2
24,0.0,-0.583,0.8867,0.00544,55.7
25,-1.0,-0.6,0.8822,0.00168,58.1
26,-1.0,-0.615,0.8778,0.00079,60.4
27,-1.0,-0.63,0.8734,0.00188,62.7
28,0.0,-0.607,0.8691,0.00773,65.1
29,-2.0,-0.655,0.8647,0.00131,67.4
30,0.0,-0.633,0.8604,0.00072,69.8
31,-1.0,-0.645,0.8561,0.00062,72.1
32,0.0,-0.625,0.8518,0.00065,74.3
33,-1.0,-0.636,0.8475,0.00087,76.7
34,-1.0,-0.647,0.8433,0.00103,79.0
35,1.0,-0.6,0.8391,0.0069,81.5
36,3.0,-0.5,0.8349,0.00086,84.1
37,1.0,-0.459,0.8307,0.00284,86.5
38,-2.0,-0.5,0.8266,0.00112,88.8
39,0.0,-0.487,0.8224,0.00079,91.2
40,2.0,-0.425,0.8183,0.0044,93.8
41,1.0,-0.39,0.8142,0.00714,96.3
42,0.0,-0.381,0.8102,0.0008,98.8
43,2.0,-0.326,0.8061,0.00061,101.0
44,1.0,-0.295,0.8021,0.00101,103.3
45,0.0,-0.289,0.7981,0.00061,105.7
46,1.0,-0.261,0.7941,0.00052,108.8
47,0.0,-0.255,0.7901,0.00083,111.2
48,0.0,-0.25,0.7862,0.00782,113.8
49,-3.0,-0.306,0.7822,0.00074,116.4
50,-1.0,-0.32,0.7783,0.00585,118.9
51,1.0,-0.294,0.7744,0.00046,121.2
52,-2.0,-0.327,0.7705,0.00723,123.7
53,0.0,-0.321,0.7667,0.00539,125.9
54,1.0,-0.296,0.7629,0.00086,128.2
55,3.0,-0.236,0.759,0.01142,130.4
56,1.0,-0.214,0.7553,0.00049,132.6
57,0.0,-0.211,0.7515,0.00118,134.9
58,-1.0,-0.224,0.7477,0.00214,137.4
59,1.0,-0.203,0.744,0.00648,139.8
60,0.0,-0.2,0.7403,0.00061,142.1
61,0.0,-0.197,0.7366,0.00684,144.6
62,2.0,-0.161,0.7329,0.00074,147.0
63,3.0,-0.111,0.7292,0.00156,149.3
64,0.0,-0.109,0.7256,0.00114,151.6
65,1.0,-0.092,0.7219,0.00107,154.1
66,0.0,-0.091,0.7183,0.00088,156.3
67,0.0,-0.09,0.7147,0.00069,158.7
68,2.0,-0.059,0.7112,0.00057,161.2
69,1.0,-0.043,0.7076,0.00048,163.5
70,3.0,0.0,0.7041,0.00056,165.8
71,-1.0,-0.014,0.7005,0.01126,168.2
