episode,score,moving_avg_100,epsilon,loss,elapsed_s
1,2.0,2.0,0.0,nan,2.6
2,0.0,1.0,0.0,nan,4.5
3,1.0,1.0,0.0,nan,6.9
4,1.0,1.0,0.0,0.00312,9.0
5,0.0,0.8,0.0,0.00649,11.4
6,1.0,0.833,0.0,0.00565,13.9
7,-1.0,0.571,0.0,0.00889,16.1
8,-2.0,0.25,0.0,0.00956,18.4
9,-2.0,0.0,0.0,0.01125,20.6
10,2.0,0.2,0.0,0.0174,22.9
11,-1.0,0.091,0.0,0.00983,25.3
12,-3.0,-0.167,0.0,0.01419,27.8
13,-2.0,-0.308,0.0,0.01058,30.1
14,2.0,-0.143,0.0,0.00213,32.3
15,1.0,-0.067,0.0,0.00185,34.7
16,3.0,0.125,0.0,0.01544,37.0
17,1.0,0.176,0.0,0.00802,39.3
18,-2.0,0.056,0.0,0.01535,41.6
19,2.0,0.158,0.0,0.00459,43.9
20,-1.0,0.1,0.0,0.00148,46.2
21,-2.0,0.0,0.0,0.0011,48.5
22,2.0,0.091,0.0,0.02573,50.9
23,2.0,0.174,0.0,0.00191,53.4
24,1.0,0.208,0.0,0.01454,55.7
25,1.0,0.24,0.0,0.00698,58.1
26,0.0,0.231,0.0,0.00072,60.3
27,3.0,0.333,0.0,0.00684,62.7
28,3.0,0.429,0.0,0.00228,65.0
29,1.0,0.448,0.0,0.00137,67.4
30,0.0,0.433,0.0,0.0007,69.6
31,2.0,0.484,0.0,0.00481,72.1
32,0.0,0.469,0.0,0.00037,74.8
33,5.0,0.606,0.0,0.00174,77.2
34,0.0,0.588,0.0,0.00091,79.5
35,2.0,0.629,0.0,0.00139,81.9
36,-2.0,0.556,0.0,0.00081,84.1
37,1.0,0.568,0.0,0.00855,86.3
38,2.0,0.605,0.0,0.00396,88.7
39,-1.0,0.564,0.0,0.0007,91.0
40,-2.0,0.5,0.0,0.00122,93.4
41,-1.0,0.463,0.0,0.01206,95.8
42,4.0,0.548,0.0,0.0077,98.3
43,3.0,0.605,0.0,0.00131,100.7
44,0.0,0.591,0.0,0.011,103.2
45,-1.0,0.556,0.0,0.00873,105.6
46,-1.0,0.522,0.0,0.01575,108.1
47,-2.0,0.468,0.0,0.00032,110.3
48,1.0,0.479,0.0,0.00049,112.8
49,1.0,0.49,0.0,0.00409,115.4
50,1.0,0.5,0.0,0.00221,117.8
51,3.0,0.549,0.0,0.00818,120.1
52,-1.0,0.519,0.0,0.00858,122.7
53,-1.0,0.491,0.0,0.0003,125.1
54,4.0,0.556,0.0,0.00049,127.4
55,1.0,0.564,0.0,0.01836,129.8
56,1.0,0.571,0.0,0.0163,132.5
57,2.0,0.596,0.0,0.00774,135.0
58,4.0,0.655,0.0,0.00847,137.2
