episode,score,moving_avg_100,epsilon,loss,elapsed_s
1,-2.0,-2.0,0.995,nan,2.7
2,0.0,-1.0,0.99,nan,4.5
3,-1.0,-1.0,0.9851,nan,6.2
4,2.0,-0.25,0.9801,0.01132,8.3
5,0.0,-0.2,0.9752,0.01728,10.4
6,1.0,0.0,0.9704,0.00869,12.6
7,1.0,0.143,0.9655,0.00938,14.7
8,-2.0,-0.125,0.9607,0.01069,16.9
9,0.0,-0.111,0.9559,0.00672,19.0
10,-1.0,-0.2,0.9511,0.01039,21.1
11,0.0,-0.182,0.9464,0.00192,23.2
12,-1.0,-0.25,0.9416,0.00612,25.3
13,0.0,-0.231,0.9369,0.00581,27.4
14,-2.0,-0.357,0.9322,0.00103,29.6
15,1.0,-0.267,0.9276,0.00668,31.6
16,0.0,-0.25,0.9229,0.00909,33.6
17,-1.0,-0.294,0.9183,0.01529,35.6
18,0.0,-0.278,0.9137,0.0075,37.8
19,-3.0,-0.421,0.9092,0.00082,39.9
20,0.0,-0.4,0.9046,0.00049,41.9
21,0.0,-0.381,0.9001,0.00111,43.9
22,0.0,-0.364,0.8956,0.01139,45.8
23,0.0,-0.348,0.8911,0.00068,47.8
24,0.0,-0.333,0.8867,0.00102,49.8
25,0.0,-0.32,0.8822,0.001,51.9
26,-1.0,-0.346,0.8778,0.00087,54.0
27,0.0,-0.333,0.8734,0.00057,56.0
28,0.0,-0.321,0.8691,0.01087,58.1
29,0.0,-0.31,0.8647,0.00163,60.2
30,-1.0,-0.333,0.8604,0.00706,62.5
31,0.0,-0.323,0.8561,0.00139,64.7
32,0.0,-0.312,0.8518,0.00133,67.0
33,3.0,-0.212,0.8475,0.00104,69.0
34,2.0,-0.147,0.8433,0.01088,71.1
35,0.0,-0.143,0.8391,0.00521,73.2
36,1.0,-0.111,0.8349,0.00329,75.2
37,1.0,-0.081,0.8307,0.01224,77.2
38,0.0,-0.079,0.8266,0.00174,79.3
39,2.0,-0.026,0.8224,0.00855,81.5
40,1.0,0.0,0.8183,0.00581,83.5
41,0.0,0.0,0.8142,0.00519,85.6
42,0.0,0.0,0.8102,0.00454,88.0
43,1.0,0.023,0.8061,0.00924,90.3
44,2.0,0.068,0.8021,0.00131,92.5
45,3.0,0.133,0.7981,0.00762,94.7
46,0.0,0.13,0.7941,0.002,96.9
47,0.0,0.128,0.7901,0.00569,98.9
48,1.0,0.146,0.7862,0.00395,100.9
49,0.0,0.143,0.7822,0.00247,103.2
50,0.0,0.14,0.7783,0.00108,105.1
51,0.0,0.137,0.7744,0.00175,107.0
52,4.0,0.212,0.7705,0.01143,109.2
53,4.0,0.283,0.7667,0.00366,111.1
54,2.0,0.315,0.7629,0.00544,113.3
55,0.0,0.309,0.759,0.00425,115.4
56,1.0,0.321,0.7553,0.00808,117.6
57,0.0,0.316,0.7515,0.00238,119.6
58,2.0,0.345,0.7477,0.00388,121.6
59,0.0,0.339,0.744,0.00353,123.6
60,3.0,0.383,0.7403,0.00762,125.5
61,2.0,0.41,0.7366,0.00201,127.7
62,0.0,0.403,0.7329,0.01575,129.8
63,2.0,0.429,0.7292,0.00292,132.0
64,0.0,0.422,0.7256,0.00356,134.2
65,1.0,0.431,0.7219,0.00418,136.1
66,1.0,0.439,0.7183,0.01425,138.3
67,1.0,0.448,0.7147,0.00575,140.3
68,0.0,0.441,0.7112,0.01725,143.0
69,-1.0,0.42,0.7076,0.0016,144.9
70,-1.0,0.4,0.7041,0.00994,147.1
71,0.0,0.394,0.7005,0.00837,149.4
72,2.0,0.417,0.697,0.00649,151.3
73,3.0,0.452,0.6936,0.00175,153.4
74,1.0,0.459,0.6901,0.00496,155.4
75,1.0,0.467,0.6866,0.00316,157.4
76,1.0,0.474,0.6832,0.00377,159.3
77,4.0,0.519,0.6798,0.00476,161.3
78,0.0,0.513,0.6764,0.00166,163.4
79,1.0,0.519,0.673,0.00308,165.5
80,2.0,0.537,0.6696,0.00167,167.6
81,1.0,0.543,0.6663,0.00351,169.7
82,-1.0,0.524,0.663,0.00498,171.8
83,4.0,0.566,0.6597,0.0136,173.9
84,1.0,0.571,0.6564,0.00309,175.8
85,0.0,0.565,0.6531,0.0012,178.0
86,0.0,0.558,0.6498,0.0121,180.0
87,4.0,0.598,0.6466,0.00248,182.3
88,0.0,0.591,0.6433,0.00607,184.4
89,4.0,0.629,0.6401,0.00425,186.6
90,3.0,0.656,0.6369,0.00754,188.8
91,-1.0,0.637,0.6337,0.01545,190.8
92,2.0,0.652,0.6306,0.00649,193.3
93,2.0,0.667,0.6274,0.00163,195.4
94,0.0,0.66,0.6243,0.00844,197.3
95,3.0,0.684,0.6211,0.00332,199.6
96,3.0,0.708,0.618,0.00283,201.6
97,3.0,0.732,0.6149,0.00917,203.6
98,0.0,0.724,0.6119,0.01154,205.6
99,2.0,0.737,0.6088,0.0026,207.9
100,0.0,0.73,0.6058,0.00733,210.0
101,3.0,0.78,0.6027,0.00284,212.0
102,1.0,0.79,0.5997,0.01211,214.0
103,-1.0,0.79,0.5967,0.00409,215.9
104,-1.0,0.76,0.5937,0.01183,218.0
105,4.0,0.8,0.5908,0.00136,220.1
106,4.0,0.83,0.5878,0.00664,222.2
107,0.0,0.82,0.5849,0.00392,224.3
108,-1.0,0.83,0.582,0.00469,226.2
109,4.0,0.87,0.579,0.00603,228.3
110,0.0,0.88,0.5762,0.00804,230.3
111,3.0,0.91,0.5733,0.01942,232.4
112,2.0,0.94,0.5704,0.00585,234.5
113,2.0,0.96,0.5676,0.01323,236.5
114,-1.0,0.97,0.5647,0.01644,238.6
115,1.0,0.97,0.5619,0.00611,240.6
116,1.0,0.98,0.5591,0.00643,242.7
117,3.0,1.02,0.5563,0.00395,244.9
118,1.0,1.03,0.5535,0.0105,247.1
119,0.0,1.06,0.5507,0.00943,249.5
120,0.0,1.06,0.548,0.01426,251.6
121,3.0,1.09,0.5452,0.00281,253.8
122,3.0,1.12,0.5425,0.00301,255.8
123,4.0,1.16,0.5398,0.00563,257.9
124,1.0,1.17,0.5371,0.0081,259.9
125,2.0,1.19,0.5344,0.00808,262.0
126,2.0,1.22,0.5318,0.00437,264.0
127,4.0,1.26,0.5291,0.00178,266.3
128,2.0,1.28,0.5264,0.00605,268.4
129,3.0,1.31,0.5238,0.00664,270.7
130,1.0,1.33,0.5212,0.0088,272.9
131,2.0,1.35,0.5186,0.01196,275.1
132,1.0,1.36,0.516,0.01498,277.2
133,4.0,1.37,0.5134,0.00312,279.4
134,2.0,1.37,0.5108,0.00792,281.6
135,4.0,1.41,0.5083,0.02256,283.7
136,4.0,1.44,0.5058,0.01361,286.1
137,0.0,1.43,0.5032,0.00481,288.4
138,7.0,1.5,0.5007,0.00919,290.4
139,8.0,1.56,0.4982,0.00656,292.5
140,5.0,1.6,0.4957,0.00841,294.6
141,5.0,1.65,0.4932,0.00868,296.8
142,6.0,1.71,0.4908,0.01897,299.0
143,0.0,1.7,0.4883,0.01119,301.2
144,5.0,1.73,0.4859,0.01018,303.5
145,4.0,1.74,0.4834,0.00887,305.8
146,3.0,1.77,0.481,0.01045,308.1
147,6.0,1.83,0.4786,0.0035,310.3
148,1.0,1.83,0.4762,0.00698,312.5
149,-2.0,1.81,0.4738,0.00308,314.7
150,3.0,1.84,0.4715,0.00824,316.7
151,6.0,1.9,0.4691,0.01903,318.8
152,3.0,1.89,0.4668,0.00607,320.8
153,0.0,1.85,0.4644,0.01287,323.0
154,1.0,1.84,0.4621,0.00397,325.4
155,7.0,1.91,0.4598,0.00855,327.8
156,4.0,1.94,0.4575,0.01473,329.9
157,6.0,2.0,0.4552,0.01459,332.1
158,5.0,2.03,0.4529,0.00721,334.2
159,4.0,2.07,0.4507,0.01109,336.6
160,2.0,2.06,0.4484,0.00832,338.8
161,8.0,2.12,0.4462,0.02126,341.0
162,2.0,2.14,0.444,0.01098,343.2
163,0.0,2.12,0.4417,0.00955,345.5
164,5.0,2.17,0.4395,0.01888,347.7
165,7.0,2.23,0.4373,0.0134,349.8
166,5.0,2.27,0.4351,0.00843,352.1
167,1.0,2.27,0.433,0.01085,354.3
168,2.0,2.29,0.4308,0.00772,356.3
169,4.0,2.34,0.4286,0.00709,358.5
170,0.0,2.35,0.4265,0.01053,360.5
171,3.0,2.38,0.4244,0.01405,362.6
172,0.0,2.36,0.4223,0.01849,364.6
173,1.0,2.34,0.4201,0.01906,366.9
174,7.0,2.4,0.418,0.00907,368.8
175,5.0,2.44,0.4159,0.01023,371.0
176,4.0,2.47,0.4139,0.00807,373.2
177,5.0,2.48,0.4118,0.00921,375.2
178,3.0,2.51,0.4097,0.01941,377.6
179,10.0,2.6,0.4077,0.00836,379.9
180,7.0,2.65,0.4057,0.0216,381.8
181,10.0,2.74,0.4036,0.01599,384.0
182,1.0,2.76,0.4016,0.01491,386.2
183,7.0,2.79,0.3996,0.01214,388.3
184,6.0,2.84,0.3976,0.00636,390.4
185,4.0,2.88,0.3956,0.00986,392.4
186,4.0,2.92,0.3936,0.01949,394.3
187,10.0,2.98,0.3917,0.01383,396.3
188,6.0,3.04,0.3897,0.00957,398.2
189,8.0,3.08,0.3878,0.02727,400.2
190,3.0,3.08,0.3858,0.02829,402.2
191,3.0,3.12,0.3839,0.01996,404.5
192,1.0,3.11,0.382,0.00805,406.5
193,2.0,3.11,0.3801,0.00719,408.7
194,6.0,3.17,0.3782,0.02526,410.8
195,5.0,3.19,0.3763,0.02176,412.9
196,1.0,3.17,0.3744,0.02065,414.9
197,5.0,3.19,0.3725,0.01219,417.0
198,0.0,3.19,0.3707,0.01336,419.3
199,10.0,3.27,0.3688,0.01429,421.3
200,6.0,3.33,0.367,0.01034,423.5
201,10.0,3.4,0.3651,0.01777,425.7
202,5.0,3.44,0.3633,0.00964,427.8
203,6.0,3.51,0.3615,0.0131,430.0
204,1.0,3.53,0.3597,0.00912,432.2
205,8.0,3.57,0.3579,0.02212,434.3
