episode,score,moving_avg_100,epsilon,loss,elapsed_s
1,1.0,1.0,0.995,nan,2.5
2,0.0,0.5,0.99,nan,4.2
3,1.0,0.667,0.9851,nan,6.0
4,0.0,0.5,0.9801,0.00673,8.1
5,0.0,0.4,0.9752,0.00145,10.4
6,-1.0,0.167,0.9704,0.00204,12.8
7,0.0,0.143,0.9655,0.00103,15.0
8,0.0,0.125,0.9607,0.0009,17.3
9,-1.0,0.0,0.9559,0.00182,19.8
10,0.0,0.0,0.9511,0.00196,22.0
11,1.0,0.091,0.9464,0.00467,24.3
12,1.0,0.167,0.9416,0.00184,26.7
13,0.0,0.154,0.9369,0.00095,28.8
14,0.0,0.143,0.9322,0.00041,31.4
15,-5.0,-0.2,0.9276,0.00098,33.7
16,3.0,0.0,0.9229,0.0022,35.9
17,-1.0,-0.059,0.9183,0.00097,38.2
18,0.0,-0.056,0.9137,0.00391,40.3
19,1.0,0.0,0.9092,0.00273,42.6
20,-1.0,-0.05,0.9046,0.00418,44.9
21,3.0,0.095,0.9001,0.00293,47.2
22,0.0,0.091,0.8956,0.00231,49.6
23,1.0,0.13,0.8911,0.00085,51.8
24,0.0,0.125,0.8867,0.0008,54.1
25,0.0,0.12,0.8822,0.00161,56.5
26,0.0,0.115,0.8778,0.00085,58.9
27,0.0,0.111,0.8734,0.00247,61.2
28,0.0,0.107,0.8691,0.00177,63.3
29,0.0,0.103,0.8647,0.00103,65.5
30,2.0,0.167,0.8604,0.00248,67.7
31,-1.0,0.129,0.8561,0.00056,70.1
32,1.0,0.156,0.8518,0.00116,72.6
33,-1.0,0.121,0.8475,0.00067,75.0
34,1.0,0.147,0.8433,0.00081,77.2
35,0.0,0.143,0.8391,0.00049,79.4
36,0.0,0.139,0.8349,0.00068,82.0
37,1.0,0.162,0.8307,0.00196,84.4
38,-1.0,0.132,0.8266,0.0007,86.8
39,2.0,0.179,0.8224,0.0007,89.1
40,0.0,0.175,0.8183,0.00068,91.2
41,0.0,0.171,0.8142,0.00085,93.3
42,1.0,0.19,0.8102,0.00074,95.6
43,2.0,0.233,0.8061,0.00339,98.0
44,1.0,0.25,0.8021,0.00087,100.2
45,4.0,0.333,0.7981,0.00418,102.5
46,0.0,0.326,0.7941,0.00156,104.8
47,0.0,0.319,0.7901,0.00281,106.9
48,0.0,0.312,0.7862,0.0012,109.2
49,0.0,0.306,0.7822,0.00198,111.6
50,3.0,0.36,0.7783,0.00224,114.1
51,0.0,0.353,0.7744,0.00169,116.4
52,2.0,0.385,0.7705,0.00414,118.8
53,2.0,0.415,0.7667,0.00225,120.9
54,0.0,0.407,0.7629,0.00356,123.3
55,4.0,0.473,0.759,0.00309,125.6
56,1.0,0.482,0.7553,0.00196,127.8
57,3.0,0.526,0.7515,0.00066,130.2
58,5.0,0.603,0.7477,0.0015,132.6
59,0.0,0.593,0.744,0.00092,134.8
60,-1.0,0.567,0.7403,0.00111,137.2
61,0.0,0.557,0.7366,0.00142,139.6
62,1.0,0.565,0.7329,0.0017,141.8
63,2.0,0.587,0.7292,0.00114,144.1
64,-1.0,0.562,0.7256,0.00584,146.5
65,1.0,0.569,0.7219,0.00071,148.8
66,-1.0,0.545,0.7183,0.00118,151.1
67,-2.0,0.507,0.7147,0.00217,153.4
68,1.0,0.515,0.7112,0.00285,155.9
69,0.0,0.507,0.7076,0.00135,158.2
70,0.0,0.5,0.7041,0.00262,160.4
71,-4.0,0.437,0.7005,0.00263,162.8
72,3.0,0.472,0.697,0.00115,165.2
73,0.0,0.466,0.6936,0.00317,167.3
74,5.0,0.527,0.6901,0.00245,169.7
75,0.0,0.52,0.6866,0.00551,171.9
76,1.0,0.526,0.6832,0.00254,174.3
77,0.0,0.519,0.6798,0.00116,176.8
78,5.0,0.577,0.6764,0.00197,179.0
79,0.0,0.57,0.673,0.00196,181.2
80,0.0,0.562,0.6696,0.00391,183.3
81,3.0,0.593,0.6663,0.00264,185.5
82,0.0,0.585,0.663,0.00206,187.7
83,2.0,0.602,0.6597,0.0025,190.1
84,0.0,0.595,0.6564,0.0055,192.7
85,0.0,0.588,0.6531,0.00222,194.9
86,0.0,0.581,0.6498,0.00165,197.1
87,5.0,0.632,0.6466,0.0033,199.4
88,5.0,0.682,0.6433,0.00413,201.6
89,1.0,0.685,0.6401,0.00353,204.1
90,4.0,0.722,0.6369,0.00225,206.5
91,4.0,0.758,0.6337,0.0012,208.8
92,0.0,0.75,0.6306,0.00228,211.1
93,2.0,0.763,0.6274,0.00449,213.3
94,-2.0,0.734,0.6243,0.00318,215.5
95,0.0,0.726,0.6211,0.00364,217.8
96,0.0,0.719,0.618,0.00738,219.9
97,3.0,0.742,0.6149,0.00143,222.3
98,1.0,0.745,0.6119,0.0023,224.5
99,1.0,0.747,0.6088,0.00151,227.0
100,2.0,0.76,0.6058,0.00262,229.3
101,4.0,0.79,0.6027,0.00496,231.8
102,3.0,0.82,0.5997,0.00346,234.2
103,3.0,0.84,0.5967,0.00545,236.6
104,4.0,0.88,0.5937,0.00292,238.8
105,2.0,0.9,0.5908,0.00256,241.1
106,0.0,0.91,0.5878,0.00329,243.4
107,1.0,0.92,0.5849,0.00402,245.7
108,2.0,0.94,0.582,0.00538,248.0
109,5.0,1.0,0.579,0.0034,250.4
110,4.0,1.04,0.5762,0.00529,252.9
111,3.0,1.06,0.5733,0.00418,255.4
112,0.0,1.05,0.5704,0.00332,257.9
113,1.0,1.06,0.5676,0.00265,260.3
114,1.0,1.07,0.5647,0.00266,262.5
115,2.0,1.14,0.5619,0.00389,264.7
116,2.0,1.13,0.5591,0.00322,267.1
117,3.0,1.17,0.5563,0.00326,269.4
118,3.0,1.2,0.5535,0.00399,271.6
119,1.0,1.2,0.5507,0.0023,273.9
120,3.0,1.24,0.548,0.00455,276.2
121,2.0,1.23,0.5452,0.00298,278.6
122,2.0,1.25,0.5425,0.00433,281.1
123,-1.0,1.23,0.5398,0.00388,283.6
124,3.0,1.26,0.5371,0.00564,286.0
125,5.0,1.31,0.5344,0.00265,288.4
126,8.0,1.39,0.5318,0.00575,291.1
127,4.0,1.43,0.5291,0.00446,293.8
128,-1.0,1.42,0.5264,0.00362,296.3
129,5.0,1.47,0.5238,0.00258,298.7
130,0.0,1.45,0.5212,0.00444,301.3
131,2.0,1.48,0.5186,0.00509,303.6
132,2.0,1.49,0.516,0.00598,306.0
133,2.0,1.52,0.5134,0.00367,308.4
134,6.0,1.57,0.5108,0.00377,310.9
135,2.0,1.59,0.5083,0.0056,313.3
136,4.0,1.63,0.5058,0.00432,315.6
137,2.0,1.64,0.5032,0.00456,318.0
138,1.0,1.66,0.5007,0.00457,320.3
139,2.0,1.66,0.4982,0.00491,322.6
140,4.0,1.7,0.4957,0.00566,324.9
141,2.0,1.72,0.4932,0.00231,327.2
142,1.0,1.72,0.4908,0.00837,329.5
143,3.0,1.73,0.4883,0.00401,332.1
144,3.0,1.75,0.4859,0.00789,334.5
145,3.0,1.74,0.4834,0.00682,336.9
146,1.0,1.75,0.481,0.00666,339.2
147,0.0,1.75,0.4786,0.0056,341.4
148,4.0,1.79,0.4762,0.00494,343.6
149,2.0,1.81,0.4738,0.00408,345.9
150,2.0,1.8,0.4715,0.00477,348.3
151,8.0,1.88,0.4691,0.00647,350.8
152,8.0,1.94,0.4668,0.00491,353.1
153,7.0,1.99,0.4644,0.00528,355.5
154,2.0,2.01,0.4621,0.0062,358.0
155,1.0,1.98,0.4598,0.00367,360.3
156,2.0,1.99,0.4575,0.0076,362.6
157,5.0,2.01,0.4552,0.00519,364.8
158,4.0,2.0,0.4529,0.00644,366.9
159,6.0,2.06,0.4507,0.00448,369.1
160,4.0,2.11,0.4484,0.00316,371.4
161,5.0,2.16,0.4462,0.00307,373.6
162,3.0,2.18,0.444,0.00482,376.0
163,2.0,2.18,0.4417,0.00847,378.1
164,3.0,2.22,0.4395,0.00878,380.3
165,3.0,2.24,0.4373,0.00669,382.5
166,2.0,2.27,0.4351,0.00467,384.7
167,0.0,2.29,0.433,0.00859,387.2
168,5.0,2.33,0.4308,0.00384,389.5
169,5.0,2.38,0.4286,0.00898,391.8
170,3.0,2.41,0.4265,0.00518,394.1
171,6.0,2.51,0.4244,0.01094,396.3
172,5.0,2.53,0.4223,0.0049,398.5
173,5.0,2.58,0.4201,0.00768,400.7
174,2.0,2.55,0.418,0.00731,403.0
175,1.0,2.56,0.4159,0.00579,405.2
176,5.0,2.6,0.4139,0.00348,407.6
177,5.0,2.65,0.4118,0.00492,409.9
178,7.0,2.67,0.4097,0.00411,412.5
179,5.0,2.72,0.4077,0.00831,414.8
180,2.0,2.74,0.4057,0.00382,417.2
181,0.0,2.71,0.4036,0.00593,419.7
182,6.0,2.77,0.4016,0.00636,422.2
183,6.0,2.81,0.3996,0.00363,424.6
184,2.0,2.83,0.3976,0.00933,427.0
185,6.0,2.89,0.3956,0.00626,429.5
186,5.0,2.94,0.3936,0.01586,432.1
187,3.0,2.92,0.3917,0.00704,434.6
188,4.0,2.91,0.3897,0.00572,437.1
189,2.0,2.92,0.3878,0.00828,439.6
190,8.0,2.96,0.3858,0.00955,442.0
191,5.0,2.97,0.3839,0.00727,444.4
192,1.0,2.98,0.382,0.00295,446.8
193,6.0,3.02,0.3801,0.00245,449.1
194,6.0,3.1,0.3782,0.00523,451.5
195,8.0,3.18,0.3763,0.00442,453.8
196,3.0,3.21,0.3744,0.00437,456.1
197,5.0,3.23,0.3725,0.0129,458.3
198,2.0,3.24,0.3707,0.00405,460.6
199,3.0,3.26,0.3688,0.01219,462.9
200,3.0,3.27,0.367,0.00371,465.3
201,5.0,3.28,0.3651,0.00276,467.7
202,5.0,3.3,0.3633,0.00689,470.0
203,3.0,3.3,0.3615,0.01056,472.4
204,8.0,3.34,0.3597,0.0051,474.6
205,6.0,3.38,0.3579,0.00714,476.9
206,-1.0,3.37,0.3561,0.00779,479.1
207,4.0,3.4,0.3543,0.01401,481.4
208,6.0,3.44,0.3525,0.00673,483.5
209,1.0,3.4,0.3508,0.0058,486.3
210,2.0,3.38,0.349,0.00828,488.5
211,5.0,3.4,0.3473,0.00588,491.1
212,7.0,3.47,0.3455,0.00703,493.6
213,5.0,3.51,0.3438,0.0083,495.9
214,4.0,3.54,0.3421,0.00455,498.1
215,4.0,3.56,0.3404,0.00637,500.3
216,6.0,3.6,0.3387,0.00547,502.5
217,0.0,3.57,0.337,0.00722,504.7
218,5.0,3.59,0.3353,0.00499,507.0
219,3.0,3.61,0.3336,0.00457,509.3
220,8.0,3.66,0.332,0.00587,511.6
221,8.0,3.72,0.3303,0.0065,513.8
222,2.0,3.72,0.3286,0.0054,516.1
223,2.0,3.75,0.327,0.01038,518.5
224,3.0,3.75,0.3254,0.0083,520.8
225,0.0,3.7,0.3237,0.00683,523.1
226,3.0,3.65,0.3221,0.00638,525.2
227,9.0,3.7,0.3205,0.00444,527.6
228,3.0,3.74,0.3189,0.0079,529.8
229,6.0,3.75,0.3173,0.00678,532.1
230,5.0,3.8,0.3157,0.00751,534.4
231,4.0,3.82,0.3141,0.01012,536.8
232,8.0,3.88,0.3126,0.00545,539.0
233,3.0,3.89,0.311,0.0091,541.4
234,7.0,3.9,0.3095,0.00912,543.7
235,1.0,3.89,0.3079,0.00871,546.0
236,6.0,3.91,0.3064,0.00419,548.2
237,3.0,3.92,0.3048,0.00967,550.6
238,2.0,3.93,0.3033,0.00501,552.9
239,4.0,3.95,0.3018,0.00775,555.3
240,7.0,3.98,0.3003,0.0062,557.6
241,3.0,3.99,0.2988,0.00488,560.2
242,4.0,4.02,0.2973,0.00397,562.5
243,4.0,4.03,0.2958,0.0069,564.6
244,6.0,4.06,0.2943,0.00664,567.0
245,13.0,4.16,0.2929,0.00959,569.3
246,3.0,4.18,0.2914,0.00544,571.8
247,3.0,4.21,0.2899,0.00908,574.1
248,7.0,4.24,0.2885,0.00651,576.4
249,8.0,4.3,0.287,0.00614,578.6
250,1.0,4.29,0.2856,0.01557,581.0
251,5.0,4.26,0.2842,0.0043,583.1
252,5.0,4.23,0.2828,0.00766,585.3
253,9.0,4.25,0.2813,0.00427,587.5
254,4.0,4.27,0.2799,0.00464,589.8
255,8.0,4.34,0.2785,0.01605,592.4
256,2.0,4.34,0.2771,0.00752,595.0
257,2.0,4.31,0.2758,0.005,597.7
258,5.0,4.32,0.2744,0.00695,600.2
259,-2.0,4.24,0.273,0.007,602.5
260,1.0,4.21,0.2716,0.00513,604.9
261,4.0,4.2,0.2703,0.0119,607.3
262,5.0,4.22,0.2689,0.00694,609.7
263,3.0,4.23,0.2676,0.00441,612.3
264,7.0,4.27,0.2663,0.00688,614.7
265,5.0,4.29,0.2649,0.00534,617.0
266,4.0,4.31,0.2636,0.00701,619.3
267,4.0,4.35,0.2623,0.00549,621.6
268,7.0,4.37,0.261,0.01026,623.9
269,6.0,4.38,0.2597,0.00729,626.2
270,8.0,4.43,0.2584,0.00544,628.5
271,1.0,4.38,0.2571,0.00835,631.5
272,8.0,4.41,0.2558,0.00795,633.8
273,6.0,4.42,0.2545,0.00423,636.2
274,5.0,4.45,0.2532,0.00521,638.6
275,14.0,4.58,0.252,0.00449,641.0
276,4.0,4.57,0.2507,0.00791,643.2
277,3.0,4.55,0.2495,0.00351,645.5
278,8.0,4.56,0.2482,0.00662,647.6
279,11.0,4.62,0.247,0.00644,650.1
280,5.0,4.65,0.2457,0.00513,652.6
281,9.0,4.74,0.2445,0.00692,654.8
282,11.0,4.79,0.2433,0.00624,657.3
283,13.0,4.86,0.2421,0.0068,659.4
284,5.0,4.89,0.2409,0.00781,661.7
285,11.0,4.94,0.2397,0.00814,663.9
286,5.0,4.94,0.2385,0.00772,666.3
287,6.0,4.97,0.2373,0.01072,668.6
288,9.0,5.02,0.2361,0.01291,671.1
289,5.0,5.05,0.2349,0.00619,673.5
290,4.0,5.01,0.2337,0.00492,675.7
291,5.0,5.01,0.2326,0.00985,678.0
292,4.0,5.04,0.2314,0.00793,680.4
293,3.0,5.01,0.2302,0.0033,682.5
294,-1.0,4.94,0.2291,0.00719,684.7
295,1.0,4.87,0.2279,0.00355,687.0
296,8.0,4.92,0.2268,0.0086,689.2
297,3.0,4.9,0.2257,0.00724,691.5
298,10.0,4.98,0.2245,0.01115,693.7
299,11.0,5.06,0.2234,0.01058,695.9
300,6.0,5.09,0.2223,0.01319,698.1
301,10.0,5.14,0.2212,0.00459,700.4
302,13.0,5.22,0.2201,0.01323,703.1
303,5.0,5.24,0.219,0.00959,705.5
304,2.0,5.18,0.2179,0.0093,707.8
305,5.0,5.17,0.2168,0.00696,710.1
306,11.0,5.29,0.2157,0.00907,712.4
307,5.0,5.3,0.2146,0.0066,714.7
308,4.0,5.28,0.2136,0.01285,717.1
309,2.0,5.29,0.2125,0.00574,719.3
310,7.0,5.34,0.2114,0.00689,721.8
311,7.0,5.36,0.2104,0.00688,724.0
312,7.0,5.36,0.2093,0.00765,726.3
313,3.0,5.34,0.2083,0.01022,728.6
314,5.0,5.35,0.2072,0.00378,731.1
315,9.0,5.4,0.2062,0.00431,733.6
316,3.0,5.37,0.2052,0.01022,735.8
317,4.0,5.41,0.2041,0.00615,738.1
318,1.0,5.37,0.2031,0.0045,740.3
319,3.0,5.37,0.2021,0.00307,742.5
320,11.0,5.4,0.2011,0.00858,744.7
321,4.0,5.36,0.2001,0.00829,747.1
322,1.0,5.35,0.1991,0.00651,749.3
323,14.0,5.47,0.1981,0.00805,751.5
324,10.0,5.54,0.1971,0.0074,753.9
325,10.0,5.64,0.1961,0.00336,756.4
326,4.0,5.65,0.1951,0.00426,758.7
327,12.0,5.68,0.1942,0.00512,761.0
328,9.0,5.74,0.1932,0.00712,763.6
329,6.0,5.74,0.1922,0.00434,766.9
330,4.0,5.73,0.1913,0.00524,769.5
331,5.0,5.74,0.1903,0.00675,772.1
332,4.0,5.7,0.1893,0.00242,774.4
333,7.0,5.74,0.1884,0.00773,776.9
334,9.0,5.76,0.1875,0.00819,779.3
335,5.0,5.8,0.1865,0.00787,781.8
336,10.0,5.84,0.1856,0.00745,784.1
337,5.0,5.86,0.1847,0.0058,786.5
338,7.0,5.91,0.1837,0.00765,789.0
339,10.0,5.97,0.1828,0.00498,791.7
340,11.0,6.01,0.1819,0.00345,794.2
341,6.0,6.04,0.181,0.00817,796.6
342,10.0,6.1,0.1801,0.01817,799.3
343,6.0,6.12,0.1792,0.01259,801.7
344,7.0,6.13,0.1783,0.00841,803.9
345,1.0,6.01,0.1774,0.00408,806.3
346,10.0,6.08,0.1765,0.00454,808.6
347,8.0,6.13,0.1756,0.008,811.0
348,8.0,6.14,0.1748,0.0065,813.3
349,8.0,6.14,0.1739,0.01214,815.5
350,4.0,6.17,0.173,0.005,817.8
351,6.0,6.18,0.1721,0.00542,820.0
352,3.0,6.16,0.1713,0.00822,822.7
353,12.0,6.19,0.1704,0.00772,825.2
354,5.0,6.2,0.1696,0.00869,827.7
355,13.0,6.25,0.1687,0.01336,830.2
356,8.0,6.31,0.1679,0.00598,832.9
357,5.0,6.34,0.167,0.00453,835.7
358,9.0,6.38,0.1662,0.00954,838.3
359,6.0,6.46,0.1654,0.00564,840.9
360,7.0,6.52,0.1646,0.00349,843.2
361,8.0,6.56,0.1637,0.01358,845.5
362,0.0,6.51,0.1629,0.00635,847.9
363,6.0,6.54,0.1621,0.01045,850.5
364,10.0,6.57,0.1613,0.01177,853.0
