episode,score,moving_avg_100,epsilon,loss,elapsed_s
1,0.0,0.0,0.0,nan,2.6
2,1.0,0.5,0.0,nan,4.7
3,1.0,0.667,0.0,nan,6.8
4,1.0,0.75,0.0,0.01936,9.6
5,1.0,0.8,0.0,0.00332,12.6
6,-1.0,0.5,0.0,0.00745,16.1
7,2.0,0.714,0.0,0.01902,19.2
8,0.0,0.625,0.0,0.01083,22.5
9,0.0,0.556,0.0,0.01034,25.7
10,-3.0,0.2,0.0,0.01,28.9
11,0.0,0.182,0.0,0.00771,32.2
12,-2.0,0.0,0.0,0.00822,35.2
13,-2.0,-0.154,0.0,0.01111,38.3
14,0.0,-0.143,0.0,0.01305,41.5
15,0.0,-0.133,0.0,0.00802,44.8
16,1.0,-0.062,0.0,0.02229,47.8
17,0.0,-0.059,0.0,0.01459,51.0
18,0.0,-0.056,0.0,0.0083,54.4
19,0.0,-0.053,0.0,0.00824,58.0
20,0.0,-0.05,0.0,0.0107,61.4
21,0.0,-0.048,0.0,0.00506,64.6
22,1.0,0.0,0.0,0.00807,67.8
23,1.0,0.043,0.0,0.00852,71.1
24,-1.0,0.0,0.0,0.00135,74.4
25,-2.0,-0.08,0.0,0.00601,78.1
26,0.0,-0.077,0.0,0.00234,81.5
27,2.0,0.0,0.0,0.00571,84.7
28,-1.0,-0.036,0.0,0.00597,87.9
29,1.0,0.0,0.0,0.00809,91.3
30,0.0,0.0,0.0,0.00669,94.7
31,-1.0,-0.032,0.0,0.00626,97.9
32,-1.0,-0.062,0.0,0.00689,101.2
33,1.0,-0.03,0.0,0.00543,104.8
34,0.0,-0.029,0.0,0.0029,108.2
35,0.0,-0.029,0.0,0.00648,111.5
36,2.0,0.028,0.0,0.01159,114.9
37,0.0,0.027,0.0,0.0116,118.8
38,1.0,0.053,0.0,0.00539,122.3
39,0.0,0.051,0.0,0.00233,125.5
40,0.0,0.05,0.0,0.01119,128.8
41,1.0,0.073,0.0,0.00663,132.1
42,0.0,0.071,0.0,0.00714,135.6
43,2.0,0.116,0.0,0.0061,139.2
44,2.0,0.159,0.0,0.00791,142.4
45,0.0,0.156,0.0,0.00437,145.6
46,-1.0,0.13,0.0,0.00582,148.8
47,0.0,0.128,0.0,0.0031,152.3
48,0.0,0.125,0.0,0.00588,155.8
49,0.0,0.122,0.0,0.0072,159.2
50,-1.0,0.1,0.0,0.00448,162.5
51,4.0,0.176,0.0,0.00672,165.8
52,0.0,0.173,0.0,0.00566,168.9
53,0.0,0.17,0.0,0.00693,172.1
54,0.0,0.167,0.0,0.00691,175.4
55,1.0,0.182,0.0,0.00653,178.6
56,-1.0,0.161,0.0,0.01049,182.0
57,0.0,0.158,0.0,0.00735,185.1
58,1.0,0.172,0.0,0.00446,188.2
59,1.0,0.186,0.0,0.00553,191.5
60,3.0,0.233,0.0,0.00481,194.8
61,0.0,0.23,0.0,0.00236,198.2
62,0.0,0.226,0.0,0.00637,201.3
63,1.0,0.238,0.0,0.00252,204.4
64,0.0,0.234,0.0,0.00332,207.5
65,0.0,0.231,0.0,0.00488,210.7
66,0.0,0.227,0.0,0.00267,213.9
67,1.0,0.239,0.0,0.00285,217.0
68,-1.0,0.221,0.0,0.00672,220.3
69,2.0,0.246,0.0,0.00309,223.4
70,0.0,0.243,0.0,0.008,227.1
71,0.0,0.239,0.0,0.00346,230.3
72,0.0,0.236,0.0,0.00711,233.7
73,0.0,0.233,0.0,0.00432,236.9
74,0.0,0.23,0.0,0.00534,240.3
75,0.0,0.227,0.0,0.0039,243.4
76,0.0,0.224,0.0,0.00902,246.4
77,1.0,0.234,0.0,0.00779,249.6
78,0.0,0.231,0.0,0.00303,252.8
79,-2.0,0.203,0.0,0.00433,256.3
80,-2.0,0.175,0.0,0.00645,259.6
81,1.0,0.185,0.0,0.00453,263.0
82,0.0,0.183,0.0,0.00471,266.3
83,-1.0,0.169,0.0,0.00658,269.5
84,0.0,0.167,0.0,0.01027,272.6
85,1.0,0.176,0.0,0.0042,275.7
86,1.0,0.186,0.0,0.00817,278.7
87,1.0,0.195,0.0,0.00318,281.9
88,-1.0,0.182,0.0,0.00487,285.2
89,0.0,0.18,0.0,0.00796,288.5
90,0.0,0.178,0.0,0.00493,291.7
91,1.0,0.187,0.0,0.0039,295.1
92,1.0,0.196,0.0,0.00419,298.3
93,-1.0,0.183,0.0,0.00465,301.5
94,1.0,0.191,0.0,0.00215,304.7
95,1.0,0.2,0.0,0.0053,307.9
96,0.0,0.198,0.0,0.00388,311.2
97,1.0,0.206,0.0,0.00743,314.6
98,0.0,0.204,0.0,0.0062,318.1
99,2.0,0.222,0.0,0.00738,321.2
100,1.0,0.23,0.0,0.00265,324.2
101,1.0,0.24,0.0,0.00366,327.3
102,0.0,0.23,0.0,0.00118,330.5
103,1.0,0.23,0.0,0.00942,333.6
104,0.0,0.22,0.0,0.00339,336.6
105,0.0,0.21,0.0,0.00496,340.0
106,0.0,0.22,0.0,0.00423,343.2
107,1.0,0.21,0.0,0.0031,346.6
108,0.0,0.21,0.0,0.00594,349.9
109,1.0,0.22,0.0,0.00635,353.1
110,1.0,0.26,0.0,0.00503,356.6
111,1.0,0.27,0.0,0.00701,360.1
112,2.0,0.31,0.0,0.00991,363.3
113,3.0,0.36,0.0,0.00743,366.6
114,0.0,0.36,0.0,0.00211,369.9
115,3.0,0.39,0.0,0.00374,373.1
116,-2.0,0.36,0.0,0.00386,376.5
117,0.0,0.36,0.0,0.00487,379.8
118,-1.0,0.35,0.0,0.00338,383.2
119,-1.0,0.34,0.0,0.00493,386.3
120,0.0,0.34,0.0,0.00448,389.6
121,0.0,0.34,0.0,0.00683,392.8
122,-1.0,0.32,0.0,0.00734,396.7
123,0.0,0.31,0.0,0.00318,400.5
124,2.0,0.34,0.0,0.00702,403.9
125,-1.0,0.35,0.0,0.00618,407.2
126,0.0,0.35,0.0,0.00524,410.4
127,0.0,0.33,0.0,0.00566,413.7
128,3.0,0.37,0.0,0.00275,417.1
129,0.0,0.36,0.0,0.00467,420.4
130,0.0,0.36,0.0,0.015,423.6
131,0.0,0.37,0.0,0.00457,427.1
132,0.0,0.38,0.0,0.00844,430.5
133,1.0,0.38,0.0,0.00498,433.8
134,6.0,0.44,0.0,0.00419,437.1
135,1.0,0.45,0.0,0.00358,440.4
136,0.0,0.43,0.0,0.0049,443.3
137,2.0,0.45,0.0,0.0066,446.5
138,0.0,0.44,0.0,0.00259,449.4
139,0.0,0.44,0.0,0.0038,452.4
140,0.0,0.44,0.0,0.00724,455.4
141,0.0,0.43,0.0,0.00394,458.4
142,-1.0,0.42,0.0,0.00671,461.4
143,2.0,0.42,0.0,0.00506,464.3
144,-3.0,0.37,0.0,0.0033,467.3
145,-2.0,0.35,0.0,0.00597,470.7
146,2.0,0.38,0.0,0.00614,473.9
147,-1.0,0.37,0.0,0.00448,477.0
148,1.0,0.38,0.0,0.00515,480.0
149,0.0,0.38,0.0,0.00365,482.9
150,5.0,0.44,0.0,0.00546,485.7
151,0.0,0.4,0.0,0.00215,488.6
152,-1.0,0.39,0.0,0.00368,491.6
153,1.0,0.4,0.0,0.00373,494.8
154,1.0,0.41,0.0,0.00678,498.1
155,0.0,0.4,0.0,0.00514,501.3
156,1.0,0.42,0.0,0.00563,504.2
157,-1.0,0.41,0.0,0.00574,507.1
158,-2.0,0.38,0.0,0.01026,510.0
159,2.0,0.39,0.0,0.00171,512.8
160,3.0,0.39,0.0,0.00586,515.8
161,-3.0,0.36,0.0,0.01013,518.8
162,1.0,0.37,0.0,0.00231,522.0
163,1.0,0.37,0.0,0.00363,525.2
164,2.0,0.39,0.0,0.0045,528.4
165,0.0,0.39,0.0,0.01132,531.5
166,-2.0,0.37,0.0,0.01086,534.6
167,-1.0,0.35,0.0,0.0052,537.7
168,2.0,0.38,0.0,0.00597,540.8
169,1.0,0.37,0.0,0.00161,544.0
170,0.0,0.37,0.0,0.00423,547.1
171,0.0,0.37,0.0,0.00896,550.8
172,0.0,0.37,0.0,0.00465,554.1
173,1.0,0.38,0.0,0.00845,557.2
174,2.0,0.4,0.0,0.00858,560.3
175,0.0,0.4,0.0,0.00432,563.4
176,0.0,0.4,0.0,0.00461,566.4
