episode,score,moving_avg_100,epsilon,loss,elapsed_s
1,-2.0,-2.0,0.0,nan,1.8
2,-1.0,-1.5,0.0,nan,3.4
3,0.0,-1.0,0.0,nan,5.0
4,0.0,-0.75,0.0,0.0251,7.0
5,0.0,-0.6,0.0,0.0123,9.7
6,1.0,-0.333,0.0,0.01137,12.1
7,0.0,-0.286,0.0,0.01932,14.7
8,3.0,0.125,0.0,0.01528,17.2
9,1.0,0.222,0.0,0.01262,19.8
10,1.0,0.3,0.0,0.00854,22.5
11,5.0,0.727,0.0,0.01026,25.1
12,5.0,1.083,0.0,0.01495,27.7
13,7.0,1.538,0.0,0.01193,30.6
14,0.0,1.429,0.0,0.00348,33.2
15,2.0,1.467,0.0,0.00569,35.9
16,1.0,1.438,0.0,0.00967,38.5
17,0.0,1.353,0.0,0.00787,41.1
18,-1.0,1.222,0.0,0.00769,43.7
19,0.0,1.158,0.0,0.00712,46.3
20,1.0,1.15,0.0,0.00418,48.7
21,1.0,1.143,0.0,0.01181,51.1
22,9.0,1.5,0.0,0.0038,53.6
23,2.0,1.522,0.0,0.00845,56.1
24,10.0,1.875,0.0,0.00638,58.5
25,0.0,1.8,0.0,0.00381,61.0
26,2.0,1.808,0.0,0.00373,63.3
27,2.0,1.815,0.0,0.00487,65.7
28,0.0,1.75,0.0,0.00694,68.3
29,7.0,1.931,0.0,0.00439,70.6
30,11.0,2.233,0.0,0.00562,73.1
31,7.0,2.387,0.0,0.00522,75.6
32,4.0,2.438,0.0,0.00657,77.9
33,5.0,2.515,0.0,0.00618,80.3
34,0.0,2.441,0.0,0.00444,82.6
35,5.0,2.514,0.0,0.00554,85.1
36,8.0,2.667,0.0,0.0066,87.6
37,5.0,2.73,0.0,0.00663,90.2
38,3.0,2.737,0.0,0.00548,92.6
39,5.0,2.795,0.0,0.00296,95.0
40,1.0,2.75,0.0,0.00699,97.5
41,18.0,3.122,0.0,0.00668,99.9
42,4.0,3.143,0.0,0.00688,102.2
43,4.0,3.163,0.0,0.00794,104.7
44,2.0,3.136,0.0,0.00641,107.2
45,12.0,3.333,0.0,0.00275,109.5
46,8.0,3.435,0.0,0.00671,111.9
47,13.0,3.638,0.0,0.0058,114.5
48,5.0,3.667,0.0,0.00474,116.8
49,14.0,3.878,0.0,0.00907,119.3
50,2.0,3.84,0.0,0.00868,121.8
51,6.0,3.882,0.0,0.01019,124.2
52,2.0,3.846,0.0,0.00924,126.5
53,12.0,4.0,0.0,0.00745,129.3
54,14.0,4.185,0.0,0.01088,131.9
55,11.0,4.309,0.0,0.01373,134.6
56,4.0,4.304,0.0,0.0058,137.2
57,8.0,4.368,0.0,0.01208,139.9
58,7.0,4.414,0.0,0.00543,142.6
59,9.0,4.492,0.0,0.01158,145.2
60,12.0,4.617,0.0,0.00814,147.8
61,11.0,4.721,0.0,0.00862,150.8
62,12.0,4.839,0.0,0.01375,153.6
63,9.0,4.905,0.0,0.00591,156.2
64,4.0,4.891,0.0,0.01364,158.9
65,12.0,5.0,0.0,0.00816,161.4
66,3.0,4.97,0.0,0.00913,164.0
67,3.0,4.94,0.0,0.00969,166.5
68,9.0,5.0,0.0,0.00569,168.9
69,16.0,5.159,0.0,0.00963,171.2
70,15.0,5.3,0.0,0.01555,173.7
71,13.0,5.408,0.0,0.01178,176.2
72,12.0,5.5,0.0,0.00909,178.6
73,9.0,5.548,0.0,0.00862,180.9
74,9.0,5.595,0.0,0.01371,183.4
75,10.0,5.653,0.0,0.00996,185.6
76,4.0,5.632,0.0,0.00832,187.9
77,11.0,5.701,0.0,0.02071,190.2
78,14.0,5.808,0.0,0.00921,192.2
79,6.0,5.81,0.0,0.00982,194.5
80,10.0,5.862,0.0,0.00949,196.9
81,20.0,6.037,0.0,0.01082,199.3
82,9.0,6.073,0.0,0.01575,201.7
83,17.0,6.205,0.0,0.00616,204.0
84,12.0,6.274,0.0,0.01979,206.3
85,3.0,6.235,0.0,0.01286,208.5
86,3.0,6.198,0.0,0.00855,210.7
87,14.0,6.287,0.0,0.01569,212.8
88,10.0,6.33,0.0,0.00894,215.0
89,6.0,6.326,0.0,0.01441,217.1
90,12.0,6.389,0.0,0.00706,219.1
91,14.0,6.473,0.0,0.01378,221.1
92,13.0,6.543,0.0,0.01848,223.4
93,8.0,6.559,0.0,0.01921,225.7
94,6.0,6.553,0.0,0.01046,227.8
95,14.0,6.632,0.0,0.00812,230.0
96,7.0,6.635,0.0,0.01862,232.3
97,13.0,6.701,0.0,0.02169,234.7
98,7.0,6.704,0.0,0.01278,237.1
99,10.0,6.737,0.0,0.01572,239.4
100,14.0,6.81,0.0,0.01758,241.4
101,10.0,6.93,0.0,0.00974,243.9
102,15.0,7.09,0.0,0.00965,246.3
103,14.0,7.23,0.0,0.01779,249.4
104,11.0,7.34,0.0,0.01565,251.6
105,12.0,7.46,0.0,0.02128,253.9
106,3.0,7.48,0.0,0.02005,256.2
107,15.0,7.63,0.0,0.02905,258.5
108,14.0,7.74,0.0,0.01544,260.9
109,18.0,7.91,0.0,0.02003,263.2
110,8.0,7.98,0.0,0.0145,265.7
111,17.0,8.1,0.0,0.01551,268.0
112,11.0,8.16,0.0,0.01397,270.5
113,11.0,8.2,0.0,0.01363,272.7
114,10.0,8.3,0.0,0.01331,275.0
115,20.0,8.48,0.0,0.00918,277.2
116,4.0,8.51,0.0,0.01748,279.4
117,20.0,8.71,0.0,0.01749,281.7
118,16.0,8.88,0.0,0.01954,284.0
119,20.0,9.08,0.0,0.02084,286.2
120,16.0,9.23,0.0,0.01873,288.4
121,19.0,9.41,0.0,0.01874,290.8
122,17.0,9.49,0.0,0.01427,292.7
123,16.0,9.63,0.0,0.01285,294.7
124,16.0,9.69,0.0,0.01649,296.7
125,5.0,9.74,0.0,0.02917,298.8
126,14.0,9.86,0.0,0.02275,300.9
127,14.0,9.98,0.0,0.01934,303.3
128,19.0,10.17,0.0,0.01689,305.7
129,18.0,10.28,0.0,0.01443,308.1
130,12.0,10.29,0.0,0.02592,310.1
131,16.0,10.38,0.0,0.01822,312.3
132,13.0,10.47,0.0,0.01936,314.7
133,11.0,10.53,0.0,0.02528,317.0
134,15.0,10.68,0.0,0.01727,319.2
135,13.0,10.76,0.0,0.02061,321.5
136,15.0,10.83,0.0,0.01555,323.9
137,19.0,10.97,0.0,0.02439,326.3
138,8.0,11.02,0.0,0.01704,328.6
139,7.0,11.04,0.0,0.01919,331.0
140,16.0,11.19,0.0,0.02694,333.3
141,23.0,11.24,0.0,0.02257,335.5
142,12.0,11.32,0.0,0.01256,337.9
143,14.0,11.42,0.0,0.01196,340.2
144,12.0,11.52,0.0,0.01899,342.7
145,18.0,11.58,0.0,0.02211,345.0
146,12.0,11.62,0.0,0.02094,347.4
147,9.0,11.58,0.0,0.01662,349.7
148,24.0,11.77,0.0,0.02378,352.0
149,7.0,11.7,0.0,0.03672,354.3
150,12.0,11.8,0.0,0.01448,356.5
151,13.0,11.87,0.0,0.01963,359.2
152,15.0,12.0,0.0,0.02005,362.0
153,15.0,12.03,0.0,0.01496,365.3
154,13.0,12.02,0.0,0.01478,368.4
155,17.0,12.08,0.0,0.01141,370.9
156,15.0,12.19,0.0,0.01678,373.5
157,18.0,12.29,0.0,0.02215,376.1
158,15.0,12.37,0.0,0.02834,378.6
159,15.0,12.43,0.0,0.01734,381.0
160,11.0,12.42,0.0,0.0364,383.7
161,14.0,12.45,0.0,0.01519,386.3
162,18.0,12.51,0.0,0.01692,388.8
163,13.0,12.55,0.0,0.01871,391.4
164,15.0,12.66,0.0,0.0236,393.8
165,14.0,12.68,0.0,0.01193,396.3
166,21.0,12.86,0.0,0.01541,398.8
167,18.0,13.01,0.0,0.03085,401.5
168,13.0,13.05,0.0,0.01695,404.0
169,9.0,12.98,0.0,0.02205,406.6
170,14.0,12.97,0.0,0.0165,409.2
171,17.0,13.01,0.0,0.01406,411.8
172,10.0,12.99,0.0,0.02032,414.5
173,13.0,13.03,0.0,0.01642,417.1
174,13.0,13.07,0.0,0.01297,420.0
175,16.0,13.13,0.0,0.02052,422.5
176,18.0,13.27,0.0,0.02309,425.2
177,17.0,13.33,0.0,0.01531,427.9
178,13.0,13.32,0.0,0.02735,430.5
179,15.0,13.41,0.0,0.02128,432.8
180,17.0,13.48,0.0,0.04913,435.3
181,20.0,13.48,0.0,0.01852,437.7
182,5.0,13.44,0.0,0.01553,440.1
183,14.0,13.41,0.0,0.01917,442.5
184,13.0,13.42,0.0,0.01415,445.0
185,10.0,13.49,0.0,0.02008,447.1
186,19.0,13.65,0.0,0.02137,449.5
187,14.0,13.65,0.0,0.01485,451.6
188,16.0,13.71,0.0,0.02088,453.7
189,15.0,13.8,0.0,0.04068,455.7
190,14.0,13.82,0.0,0.03953,458.0
191,6.0,13.74,0.0,0.01337,460.5
192,16.0,13.77,0.0,0.03436,462.8
193,11.0,13.8,0.0,0.02909,465.0
194,13.0,13.87,0.0,0.02106,467.3
195,18.0,13.91,0.0,0.02434,469.5
196,16.0,14.0,0.0,0.02521,472.2
197,11.0,13.98,0.0,0.0228,474.6
198,17.0,14.08,0.0,0.01967,477.0
199,13.0,14.11,0.0,0.01806,479.2
200,14.0,14.11,0.0,0.01962,481.4
201,13.0,14.14,0.0,0.03726,484.0
202,17.0,14.16,0.0,0.03473,486.3
203,16.0,14.18,0.0,0.01285,488.8
204,17.0,14.24,0.0,0.02753,491.2
205,17.0,14.29,0.0,0.02638,493.5
206,17.0,14.43,0.0,0.02589,495.6
207,16.0,14.44,0.0,0.02197,497.7
208,7.0,14.37,0.0,0.01937,500.2
209,17.0,14.36,0.0,0.02615,502.4
210,13.0,14.41,0.0,0.01333,504.6
211,16.0,14.4,0.0,0.02303,506.9
212,15.0,14.44,0.0,0.02594,509.3
213,16.0,14.49,0.0,0.01974,511.6
214,17.0,14.56,0.0,0.02539,514.0
215,13.0,14.49,0.0,0.02458,516.3
216,14.0,14.59,0.0,0.03114,518.7
217,9.0,14.48,0.0,0.02377,521.1
218,20.0,14.52,0.0,0.00736,523.5
219,15.0,14.47,0.0,0.01276,525.5
220,19.0,14.5,0.0,0.04574,527.8
221,17.0,14.48,0.0,0.02011,530.1
222,8.0,14.39,0.0,0.0153,532.3
223,13.0,14.36,0.0,0.01335,534.8
224,17.0,14.37,0.0,0.0243,537.0
225,17.0,14.49,0.0,0.02468,539.3
226,18.0,14.53,0.0,0.03472,541.7
227,8.0,14.47,0.0,0.01843,544.1
228,12.0,14.4,0.0,0.02696,546.3
229,16.0,14.38,0.0,0.02225,548.9
230,13.0,14.39,0.0,0.01876,551.6
231,7.0,14.3,0.0,0.02892,554.4
232,10.0,14.27,0.0,0.01556,557.0
233,8.0,14.24,0.0,0.01503,559.4
234,12.0,14.21,0.0,0.01355,561.8
235,13.0,14.21,0.0,0.01529,564.4
236,12.0,14.18,0.0,0.02477,566.8
237,11.0,14.1,0.0,0.0461,569.6
238,19.0,14.21,0.0,0.03298,572.1
239,15.0,14.29,0.0,0.03672,574.5
240,11.0,14.24,0.0,0.01936,577.0
241,13.0,14.14,0.0,0.03156,579.4
242,11.0,14.13,0.0,0.02301,582.0
243,14.0,14.13,0.0,0.01556,584.6
244,13.0,14.14,0.0,0.03284,586.7
245,12.0,14.08,0.0,0.02212,589.4
246,14.0,14.1,0.0,0.02081,592.2
247,10.0,14.11,0.0,0.02764,594.9
248,16.0,14.03,0.0,0.02122,597.4
249,16.0,14.12,0.0,0.05404,600.0
250,7.0,14.07,0.0,0.05036,602.5
251,17.0,14.11,0.0,0.03506,605.0
252,21.0,14.17,0.0,0.01573,607.6
253,12.0,14.14,0.0,0.02183,610.3
254,15.0,14.16,0.0,0.01436,612.9
255,17.0,14.16,0.0,0.02598,615.6
256,12.0,14.13,0.0,0.02385,618.2
257,15.0,14.1,0.0,0.04331,620.8
258,12.0,14.07,0.0,0.02899,623.4
259,13.0,14.05,0.0,0.02688,626.1
260,13.0,14.07,0.0,0.0263,629.0
